source,date,team,game,specialty,sex,birthday,age,subject,rt,attempts
youtube,6/21/2019,NAVI,csgo,AWPer,male,10/2/1997,21.7,simple,207,1
youtube,6/21/2019,NAVI,csgo,AWPer,male,10/2/1997,21.7,simple,193,2
youtube,6/21/2019,NAVI,csgo,AWPer,male,10/2/1997,21.7,simple,201,3
youtube,6/21/2019,NAVI,csgo,AWPer,male,10/2/1997,21.7,simple,182,4
youtube,6/21/2019,NAVI,csgo,AWPer,male,10/2/1997,21.7,simple,167,5
youtube,9/15/2020,NiP,csgo,rifler,male,12/12/1994,25.8,twist,182,1
youtube,9/15/2020,NiP,csgo,rifler,male,12/12/1994,25.8,twist,179,2
youtube,9/15/2020,NiP,csgo,rifler,male,12/12/1994,25.8,twist,177,3
youtube,9/15/2020,NiP,csgo,rifler,male,12/12/1994,25.8,twist,187,4
youtube,9/15/2020,NiP,csgo,rifler,male,12/12/1994,25.8,twist,173,5
youtube,9/15/2020,NiP,csgo,rifler,male,4/5/1988,32.4,threat,168,1
youtube,9/15/2020,NiP,csgo,rifler,male,4/5/1988,32.4,threat,160,2
youtube,9/15/2020,NiP,csgo,rifler,male,4/5/1988,32.4,threat,176,3
youtube,9/15/2020,NiP,csgo,rifler,male,4/5/1988,32.4,threat,155,4
youtube,9/15/2020,NiP,csgo,rifler,male,4/5/1988,32.4,threat,160,5
youtube,9/15/2020,BIG,csgo,rifler,male,7/10/1987,33.2,gob b,186,1
youtube,9/15/2020,BIG,csgo,rifler,male,7/10/1987,33.2,gob b,206,2
youtube,9/15/2020,BIG,csgo,rifler,male,7/10/1987,33.2,gob b,197,3
youtube,9/15/2020,BIG,csgo,rifler,male,7/10/1987,33.2,gob b,169,4
youtube,9/15/2020,BIG,csgo,rifler,male,7/10/1987,33.2,gob b,185,5
youtube,9/15/2020,BIG,csgo,rifler,male,4/5/1995,25.4,tabsen,181,1
youtube,9/15/2020,BIG,csgo,rifler,male,4/5/1995,25.4,tabsen,245,2
youtube,9/15/2020,BIG,csgo,rifler,male,4/5/1995,25.4,tabsen,201,3
youtube,9/15/2020,BIG,csgo,rifler,male,4/5/1995,25.4,tabsen,186,4
youtube,9/15/2020,BIG,csgo,rifler,male,4/5/1995,25.4,tabsen,220,5
youtube,8/31/2021,BIG,csgo,rifler,male,4/5/1995,26.4,tabsen,164,1
youtube,8/31/2021,BIG,csgo,rifler,male,4/5/1995,26.4,tabsen,183,2
youtube,8/31/2021,BIG,csgo,rifler,male,4/5/1995,26.4,tabsen,179,3
youtube,8/31/2021,BIG,csgo,rifler,male,4/5/1995,26.4,tabsen,164,4
youtube,8/31/2021,BIG,csgo,rifler,male,4/5/1995,26.4,tabsen,171,5
youtube,8/31/2021,NiP,csgo,AWPer,male,9/8/1995,26,device,192,1
youtube,8/31/2021,NiP,csgo,AWPer,male,9/8/1995,26,device,174,2
youtube,8/31/2021,NiP,csgo,AWPer,male,9/8/1995,26,device,179,3
youtube,8/31/2021,NiP,csgo,AWPer,male,9/8/1995,26,device,163,4
youtube,8/31/2021,NiP,csgo,AWPer,male,9/8/1995,26,device,173,5
youtube,8/31/2021,BIG,csgo,rifler,male,5/7/1995,26.3,xantares,215,1
youtube,8/31/2021,BIG,csgo,rifler,male,5/7/1995,26.3,xantares,174,2
youtube,8/31/2021,BIG,csgo,rifler,male,5/7/1995,26.3,xantares,194,3
youtube,8/31/2021,BIG,csgo,rifler,male,5/7/1995,26.3,xantares,164,4
youtube,8/31/2021,BIG,csgo,rifler,male,5/7/1995,26.3,xantares,182,5
youtube,8/31/2021,G2 Esports,csgo,rifler,male,5/7/1995,26.3,hunter,159,1
youtube,8/31/2021,G2 Esports,csgo,rifler,male,1/3/1996,25.7,hunter,157,2
youtube,8/31/2021,G2 Esports,csgo,rifler,male,1/3/1996,25.7,hunter,157,3
youtube,8/31/2021,G2 Esports,csgo,rifler,male,1/3/1996,25.7,hunter,183,4
youtube,8/31/2021,G2 Esports,csgo,rifler,male,1/3/1996,25.7,hunter,162,5
youtube,6/12/2022,Cloud 9,league,support,male,4/20/1999,23.1,vulcan,207,1
youtube,6/12/2022,Cloud 9,league,support,male,4/20/1999,23.1,vulcan,190,2
youtube,6/12/2022,Cloud 9,league,support,male,4/20/1999,23.1,vulcan,187,3
youtube,6/12/2022,Cloud 9,league,support,male,4/20/1999,23.1,vulcan,205,4
youtube,6/12/2022,Cloud 9,league,support,male,4/20/1999,23.1,vulcan,161,5
youtube,6/12/2022,Cloud 9,league,jungler,male,1/4/2000,22.4,blaber,155,1
youtube,6/12/2022,Cloud 9,league,jungler,male,1/4/2000,22.4,blaber,183,2
youtube,6/12/2022,Cloud 9,league,jungler,male,1/4/2000,22.4,blaber,182,3
youtube,6/12/2022,Cloud 9,league,jungler,male,1/4/2000,22.4,blaber,172,4
youtube,6/12/2022,Cloud 9,league,jungler,male,1/4/2000,22.4,blaber,177,5
youtube,6/12/2022,Cloud 9,league,top,male,9/30/1997,24.7,licorice,208,1
youtube,6/12/2022,Cloud 9,league,top,male,9/30/1997,24.7,licorice,173,2
youtube,6/12/2022,Cloud 9,league,top,male,9/30/1997,24.7,licorice,171,3
youtube,6/12/2022,Cloud 9,league,top,male,9/30/1997,24.7,licorice,224,4
youtube,6/12/2022,Cloud 9,league,top,male,9/30/1997,24.7,licorice,215,5
youtube,6/12/2022,Cloud 9,league,bot,male,6/24/1997,25,zven,198,1
youtube,6/12/2022,Cloud 9,league,bot,male,6/24/1997,25,zven,208,2
youtube,6/12/2022,Cloud 9,league,bot,male,6/24/1997,25,zven,205,3
youtube,6/12/2022,Cloud 9,league,bot,male,6/24/1997,25,zven,185,4
youtube,6/12/2022,Cloud 9,league,bot,male,6/24/1997,25,zven,179,5
youtube,6/12/2022,Cloud 9,league,mid,male,7/28/1998,23.9,nisqy,243,1
youtube,6/12/2022,Cloud 9,league,mid,male,7/28/1998,23.9,nisqy,171,2
youtube,6/12/2022,Cloud 9,league,mid,male,7/28/1998,23.9,nisqy,161,3
youtube,6/12/2022,Cloud 9,league,mid,male,7/28/1998,23.9,nisqy,177,4
youtube,6/12/2022,Cloud 9,league,mid,male,7/28/1998,23.9,nisqy,198,5
g2 esports,8/17/2020,G2 Esports,league,mid,male,11/17/1999,20.7,caps,195,1
g2 esports,8/17/2020,G2 Esports,league,mid,male,11/17/1999,20.7,caps,190,2
g2 esports,8/17/2020,G2 Esports,league,mid,male,11/17/1999,20.7,caps,184,3
g2 esports,8/17/2020,G2 Esports,league,mid,male,11/17/1999,20.7,caps,196,4
g2 esports,8/17/2020,G2 Esports,league,mid,male,11/17/1999,20.7,caps,188,5
g2 esports,8/17/2020,G2 Esports,league,jungler,male,7/23/1995,25.1,jankos,200,1
g2 esports,8/17/2020,G2 Esports,league,jungler,male,7/23/1995,25.1,jankos,190,2
g2 esports,8/17/2020,G2 Esports,league,jungler,male,7/23/1995,25.1,jankos,180,3
g2 esports,8/17/2020,G2 Esports,league,jungler,male,7/23/1995,25.1,jankos,163,4
g2 esports,8/17/2020,G2 Esports,league,jungler,male,7/23/1995,25.1,jankos,182,5
g2 esports,8/17/2020,G2 Esports,league,top,male,11/9/1998,21.8,wunder,182,1
g2 esports,8/17/2020,G2 Esports,league,top,male,11/9/1998,21.8,wunder,157,2
g2 esports,8/17/2020,G2 Esports,league,top,male,11/9/1998,21.8,wunder,163,3
g2 esports,8/17/2020,G2 Esports,league,top,male,11/9/1998,21.8,wunder,171,4
g2 esports,8/17/2020,G2 Esports,league,top,male,11/9/1998,21.8,wunder,157,5
g2 esports,8/17/2020,G2 Esports,league,mid,male,9/30/1998,21.9,perkz,192,1
g2 esports,8/17/2020,G2 Esports,league,mid,male,9/30/1998,21.9,perkz,186,2
g2 esports,8/17/2020,G2 Esports,league,mid,male,9/30/1998,21.9,perkz,206,3
g2 esports,8/17/2020,G2 Esports,league,mid,male,9/30/1998,21.9,perkz,168,4
g2 esports,8/17/2020,G2 Esports,league,mid,male,9/30/1998,21.9,perkz,209,5
g2 esports,8/17/2020,G2 Esports,league,support,male,11/2/1998,21.8,mikyx,190,1
g2 esports,8/17/2020,G2 Esports,league,support,male,11/2/1998,21.8,mikyx,189,2
g2 esports,8/17/2020,G2 Esports,league,support,male,11/2/1998,21.8,mikyx,179,3
g2 esports,8/17/2020,G2 Esports,league,support,male,11/2/1998,21.8,mikyx,172,4
g2 esports,8/17/2020,G2 Esports,league,support,male,11/2/1998,21.8,mikyx,182,5
fnatic,7/2/2020,Fnatic,league,jungler,male,12/15/1999,20.5,selfmade,190,1
fnatic,7/2/2020,Fnatic,league,jungler,male,12/15/1999,20.5,selfmade,194,2
fnatic,7/2/2020,Fnatic,league,jungler,male,12/15/1999,20.5,selfmade,205,3
fnatic,7/2/2020,Fnatic,league,jungler,male,12/15/1999,20.5,selfmade,172,4
fnatic,7/2/2020,Fnatic,league,jungler,male,12/15/1999,20.5,selfmade,176,5
fnatic,7/2/2020,Fnatic,league,support,male,10/5/1994,25.7,mithy,187,1
fnatic,7/2/2020,Fnatic,league,support,male,10/5/1994,25.7,mithy,187,2
fnatic,7/2/2020,Fnatic,league,support,male,10/5/1994,25.7,mithy,198,3
fnatic,7/2/2020,Fnatic,league,support,male,10/5/1994,25.7,mithy,171,4
fnatic,7/2/2020,Fnatic,league,support,male,10/5/1994,25.7,mithy,173,5
fnatic,7/2/2020,Fnatic,league,top,male,12/24/1998,21.5,bwipo,155,1
fnatic,7/2/2020,Fnatic,league,top,male,12/24/1998,21.5,bwipo,175,2
fnatic,7/2/2020,Fnatic,league,top,male,12/24/1998,21.5,bwipo,194,3
fnatic,7/2/2020,Fnatic,league,top,male,12/24/1998,21.5,bwipo,186,4
fnatic,7/2/2020,Fnatic,league,top,male,12/24/1998,21.5,bwipo,183,5
fnatic,7/2/2020,Fnatic,league,bot,male,9/20/1996,23.8,rekkles,200,1
fnatic,7/2/2020,Fnatic,league,bot,male,9/20/1996,23.8,rekkles,202,2
fnatic,7/2/2020,Fnatic,league,bot,male,9/20/1996,23.8,rekkles,187,3
fnatic,7/2/2020,Fnatic,league,bot,male,9/20/1996,23.8,rekkles,197,4
fnatic,7/2/2020,Fnatic,league,bot,male,9/20/1996,23.8,rekkles,213,5
fnatic,7/2/2020,Fnatic,league,mid,male,7/26/1999,20.9,nemesis,249,1
fnatic,7/2/2020,Fnatic,league,mid,male,7/26/1999,20.9,nemesis,200,2
fnatic,7/2/2020,Fnatic,league,mid,male,7/26/1999,20.9,nemesis,192,3
fnatic,7/2/2020,Fnatic,league,mid,male,7/26/1999,20.9,nemesis,211,4
fnatic,7/2/2020,Fnatic,league,mid,male,7/26/1999,20.9,nemesis,199,5
youtube,3/3/2021,Astralis,csgo,rifler,male,3/5/1998,23,magisk,154,1
youtube,3/3/2021,Astralis,csgo,rifler,male,3/5/1998,23,magisk,161,2
youtube,3/3/2021,Astralis,csgo,rifler,male,3/5/1998,23,magisk,162,3
youtube,3/3/2021,Astralis,csgo,rifler,male,3/5/1998,23,magisk,155,4
youtube,3/3/2021,Astralis,csgo,rifler,male,3/5/1998,23,magisk,159,5
youtube,3/3/2021,Astralis,csgo,rifler,male,7/3/1998,22.7,bubzkji,160,1
youtube,3/3/2021,Astralis,csgo,rifler,male,7/3/1998,22.7,bubzkji,145,2
youtube,3/3/2021,Astralis,csgo,rifler,male,7/3/1998,22.7,bubzkji,152,3
youtube,3/3/2021,Astralis,csgo,rifler,male,7/3/1998,22.7,bubzkji,164,4
youtube,3/3/2021,Astralis,csgo,rifler,male,7/3/1998,22.7,bubzkji,156,5
youtube,3/3/2021,Astralis,csgo,AWPer,male,9/8/1995,25.5,device,180,1
youtube,3/3/2021,Astralis,csgo,AWPer,male,9/8/1995,25.5,device,159,2
youtube,3/3/2021,Astralis,csgo,AWPer,male,9/8/1995,25.5,device,173,3
youtube,3/3/2021,Astralis,csgo,AWPer,male,9/8/1995,25.5,device,113,4
youtube,3/3/2021,Astralis,csgo,AWPer,male,9/8/1995,25.5,device,161,5
youtube,3/3/2021,Astralis,csgo,rifler,male,3/26/1993,27.9,dupreeh,179,1
youtube,3/3/2021,Astralis,csgo,rifler,male,3/26/1993,27.9,dupreeh,235,2
youtube,3/3/2021,Astralis,csgo,rifler,male,3/26/1993,27.9,dupreeh,180,3
youtube,3/3/2021,Astralis,csgo,rifler,male,3/26/1993,27.9,dupreeh,216,4
youtube,3/3/2021,Astralis,csgo,rifler,male,3/26/1993,27.9,dupreeh,199,5
youtube,3/14/2020,Cloud 9,valorant,duelist,male,5/5/2001,18.9,tenz,156,1
youtube,3/14/2020,Cloud 9,valorant,duelist,male,5/5/2001,18.9,tenz,128,2
youtube,3/14/2020,Cloud 9,valorant,duelist,male,5/5/2001,18.9,tenz,150,3
youtube,3/14/2020,Cloud 9,valorant,duelist,male,5/5/2001,18.9,tenz,159,4
youtube,3/14/2020,Cloud 9,valorant,duelist,male,5/5/2001,18.9,tenz,147,5
youtube,7/13/2021,Free Agent,valorant,duelist,male,5/5/2001,20.2,tenz,166,1
youtube,7/13/2021,Free Agent,valorant,duelist,male,5/5/2001,20.2,tenz,95,2
youtube,7/13/2021,Free Agent,valorant,duelist,male,5/5/2001,20.2,tenz,160,3
youtube,7/13/2021,Free Agent,valorant,duelist,male,5/5/2001,20.2,tenz,159,4
youtube,7/13/2021,Free Agent,valorant,duelist,male,5/5/2001,20.2,tenz,149,5
youtube,1/20/2022,Free Agent,league,bot,male,7/19/1993,28.5,doublelift,195,1
youtube,1/20/2022,Free Agent,league,bot,male,7/19/1993,28.5,doublelift,179,2
youtube,1/20/2022,Free Agent,league,bot,male,7/19/1993,28.5,doublelift,210,3
youtube,1/20/2022,Free Agent,league,bot,male,7/19/1993,28.5,doublelift,199,4
youtube,1/20/2022,Free Agent,league,bot,male,7/19/1993,28.5,doublelift,190,5
HMGlab,10/04/2022,G2 Gozen,valorant,controller,female,7/2/1997,25.3,mimi,144,1
HMGlab,10/04/2022,G2 Gozen,valorant,controller,female,7/2/1997,25.3,mimi,157,2
HMGlab,10/04/2022,G2 Gozen,valorant,controller,female,7/2/1997,25.3,mimi,130,3
HMGlab,10/04/2022,G2 Gozen,valorant,controller,female,7/2/1997,25.3,mimi,134,4
HMGlab,10/04/2022,G2 Gozen,valorant,controller,female,7/2/1997,25.3,mimi,142,5
HMGlab,10/04/2022,G2 Gozen,valorant,duelist,female,6/1/1993,29.3,petra,143,1
HMGlab,10/04/2022,G2 Gozen,valorant,duelist,female,6/1/1993,29.3,petra,128,2
HMGlab,10/04/2022,G2 Gozen,valorant,duelist,female,6/1/1993,29.3,petra,147,3
HMGlab,10/04/2022,G2 Gozen,valorant,duelist,female,6/1/1993,29.3,petra,133,4
HMGlab,10/04/2022,G2 Gozen,valorant,duelist,female,6/1/1993,29.3,petra,140,5
HMGlab,10/04/2022,G2 Gozen,valorant,sentinel,female,11/4/1993,28.9,juliano,170,1
HMGlab,10/04/2022,G2 Gozen,valorant,sentinel,female,11/4/1993,28.9,juliano,198,2
HMGlab,10/04/2022,G2 Gozen,valorant,sentinel,female,11/4/1993,28.9,juliano,157,3
HMGlab,10/04/2022,G2 Gozen,valorant,sentinel,female,11/4/1993,28.9,juliano,155,4
HMGlab,10/04/2022,G2 Gozen,valorant,sentinel,female,11/4/1993,28.9,juliano,167,5
